player_id,register_date,days_since_register,last_login_days_ago,segment,is_payer,total_payment,avg_session_minutes,restaurant_level,collection_progress,vip_preference_score,event_sensitivity,churn_risk_score
P00001,2025-11-16,121,1,active_non_payers,False,0.0,88.7,22,0.503,0.215,0.653,0.107
P00002,2025-10-26,142,3,active_non_payers,False,0.0,78.8,33,0.897,0.165,0.74,0.15
P00003,2026-03-04,13,0,new_players,True,1.73,11.3,2,0.082,0.134,0.598,0.243
P00004,2025-08-18,211,1,active_non_payers,False,0.0,66.8,29,0.767,0.237,0.638,0.082
P00005,2025-09-24,174,1,active_non_payers,False,0.0,44.3,34,0.758,0.228,0.72,0.202
P00006,2025-09-08,190,1,active_non_payers,False,0.0,43.0,29,0.699,0.265,0.723,0.114
P00007,2026-03-04,13,4,new_players,False,0.0,16.4,6,0.056,0.156,0.42,0.389
P00008,2025-11-25,112,3,active_non_payers,False,0.0,74.8,16,0.875,0.186,0.662,0.146
P00009,2026-02-02,43,0,active_non_payers,False,0.0,65.9,28,0.907,0.253,0.594,0.077
P00010,2026-03-11,6,4,new_players,False,0.0,14.9,3,0.028,0.189,0.458,0.276
P00011,2025-05-29,292,4,returning_players,False,0.0,35.8,14,0.593,0.292,0.922,0.253
P00012,2025-10-02,166,2,high_value_payers,True,164.77,68.1,38,0.901,0.955,0.682,0.062
P00013,2026-02-19,26,0,active_non_payers,False,0.0,77.2,32,0.744,0.195,0.703,0.1
P00014,2025-10-26,142,1,active_non_payers,False,0.0,80.1,23,0.895,0.139,0.589,0.174
P00015,2025-09-28,170,1,active_non_payers,False,0.0,73.4,33,0.868,0.293,0.656,0.144
P00016,2025-09-12,186,0,active_non_payers,False,0.0,46.6,27,0.835,0.16,0.673,0.161
P00017,2026-03-15,2,2,new_players,False,0.0,16.7,5,0.077,0.145,0.567,0.346
P00018,2026-01-16,60,29,churn_risk_players,False,0.0,9.3,20,0.332,0.463,0.72,0.932
P00019,2025-11-17,120,2,high_value_payers,True,90.79,47.9,49,0.893,0.974,0.695,0.147
P00020,2025-09-28,170,18,churn_risk_players,False,0.0,19.0,15,0.212,0.245,0.658,0.835
P00021,2025-02-11,399,37,churn_risk_players,False,0.0,15.3,13,0.391,0.201,0.701,0.835
P00022,2025-05-12,309,10,returning_players,True,9.94,47.7,17,0.653,0.507,0.821,0.414
P00023,2025-08-23,206,0,active_non_payers,False,0.0,73.1,24,0.907,0.286,0.727,0.22
P00024,2025-02-17,393,35,churn_risk_players,False,0.0,9.9,13,0.37,0.33,0.683,0.829
P00025,2025-12-18,89,0,active_non_payers,False,0.0,58.3,26,0.55,0.365,0.624,0.136
P00026,2025-08-28,201,18,churn_risk_players,False,0.0,7.6,8,0.493,0.234,0.653,0.853
P00027,2025-05-14,307,2,returning_players,False,0.0,34.6,20,0.649,0.476,0.921,0.257
P00028,2026-01-09,67,24,churn_risk_players,False,0.0,8.7,16,0.231,0.358,0.828,0.968
P00029,2025-04-06,345,2,high_value_payers,True,61.94,80.8,45,0.833,0.955,0.492,0.079
P00030,2025-12-03,104,31,churn_risk_players,False,0.0,9.0,17,0.196,0.181,0.786,0.942
P00031,2026-03-15,2,2,new_players,True,7.3,15.8,3,0.042,0.299,0.492,0.327
P00032,2025-07-14,246,8,returning_players,False,0.0,44.9,26,0.56,0.505,0.881,0.286
P00033,2025-11-21,116,0,active_non_payers,False,0.0,87.3,28,0.733,0.21,0.777,0.179
P00034,2026-02-13,32,3,active_non_payers,False,0.0,57.2,26,0.902,0.245,0.75,0.143
P00035,2025-07-23,237,38,churn_risk_players,False,0.0,13.0,7,0.399,0.494,0.766,0.908
P00036,2025-04-10,341,6,returning_players,True,12.83,28.2,18,0.646,0.521,0.894,0.386
P00037,2025-10-17,151,3,active_non_payers,False,0.0,79.0,23,0.643,0.35,0.795,0.105
P00038,2026-03-10,7,1,new_players,True,3.61,22.3,2,0.069,0.174,0.389,0.33
P00039,2025-07-26,234,2,active_non_payers,False,0.0,55.2,22,0.874,0.279,0.491,0.112
P00040,2024-12-26,446,0,high_value_payers,True,108.41,79.5,47,0.892,0.891,0.699,0.044
P00041,2025-09-23,175,1,active_non_payers,False,0.0,90.6,32,0.648,0.23,0.773,0.168
P00042,2026-03-16,1,0,new_players,False,0.0,15.8,6,0.037,0.254,0.58,0.363
P00043,2025-12-21,86,9,churn_risk_players,False,0.0,9.3,8,0.151,0.357,0.816,0.851
P00044,2026-03-12,5,1,new_players,False,0.0,13.4,4,0.09,0.168,0.446,0.23
P00045,2025-03-18,364,10,churn_risk_players,False,0.0,10.5,7,0.411,0.265,0.758,0.925
P00046,2026-03-08,9,2,new_players,False,0.0,17.9,5,0.03,0.234,0.425,0.259
P00047,2025-08-22,207,2,active_non_payers,False,0.0,84.3,31,0.672,0.379,0.72,0.138
P00048,2025-07-28,232,5,returning_players,False,0.0,41.8,21,0.549,0.36,0.885,0.45
P00049,2026-03-11,6,0,new_players,False,0.0,19.0,2,0.15,0.202,0.412,0.383
P00050,2025-08-05,224,11,returning_players,False,0.0,24.1,21,0.528,0.476,0.914,0.288
P00051,2025-08-14,215,10,returning_players,False,0.0,36.1,14,0.565,0.37,0.838,0.438
P00052,2025-07-10,250,32,churn_risk_players,False,0.0,5.7,15,0.175,0.241,0.741,0.836
P00053,2025-08-21,208,3,active_non_payers,False,0.0,59.3,27,0.785,0.189,0.524,0.172
P00054,2025-10-26,142,27,churn_risk_players,False,0.0,8.2,7,0.321,0.472,0.759,0.928
P00055,2025-10-14,154,5,returning_players,False,0.0,32.1,10,0.49,0.438,0.864,0.411
P00056,2025-05-11,310,20,churn_risk_players,False,0.0,9.6,10,0.177,0.276,0.697,0.938
P00057,2026-01-01,75,11,returning_players,True,3.56,34.4,13,0.595,0.329,0.767,0.346
P00058,2025-10-24,144,29,churn_risk_players,False,0.0,6.5,10,0.271,0.45,0.819,0.9
P00059,2025-07-02,258,2,returning_players,False,0.0,23.0,19,0.55,0.289,0.845,0.322
P00060,2025-04-08,343,11,returning_players,False,0.0,26.9,17,0.629,0.667,0.907,0.369
P00061,2026-03-09,8,4,new_players,False,0.0,22.4,3,0.057,0.199,0.481,0.42
P00062,2026-01-15,61,12,churn_risk_players,False,0.0,8.1,11,0.203,0.334,0.891,0.809
P00063,2026-02-11,34,0,active_non_payers,False,0.0,87.9,15,0.894,0.29,0.537,0.19
P00064,2026-03-07,10,0,new_players,True,2.9,20.6,2,0.067,0.149,0.646,0.512
P00065,2026-03-12,5,2,new_players,False,0.0,9.3,1,0.067,0.171,0.594,0.239
P00066,2025-10-07,161,43,churn_risk_players,False,0.0,6.0,12,0.208,0.244,0.87,0.969
P00067,2025-09-19,179,11,returning_players,False,0.0,44.6,16,0.483,0.396,0.959,0.416
P00068,2025-11-30,107,31,churn_risk_players,False,0.0,11.2,13,0.359,0.214,0.796,0.923
P00069,2025-11-29,108,3,active_non_payers,False,0.0,77.1,35,0.882,0.315,0.628,0.099
P00070,2025-08-23,206,9,returning_players,False,0.0,38.6,22,0.662,0.26,0.941,0.414
P00071,2025-08-24,205,2,active_non_payers,False,0.0,84.8,19,0.879,0.322,0.659,0.166
P00072,2026-03-10,7,1,new_players,False,0.0,8.7,3,0.05,0.219,0.548,0.406
P00073,2025-08-05,224,1,returning_players,False,0.0,32.2,25,0.35,0.591,0.895,0.417
P00074,2026-01-05,71,7,returning_players,True,34.47,43.9,14,0.526,0.391,0.832,0.481
P00075,2025-05-29,292,10,returning_players,False,0.0,28.3,22,0.399,0.559,0.874,0.405
P00076,2025-03-26,356,32,churn_risk_players,False,0.0,20.0,8,0.414,0.237,0.713,0.957
P00077,2026-03-11,6,0,new_players,False,0.0,18.6,2,0.036,0.147,0.517,0.441
P00078,2025-01-25,416,1,high_value_payers,True,176.03,66.0,47,0.863,0.943,0.515,0.047
P00079,2025-03-08,374,28,churn_risk_players,False,0.0,12.4,19,0.397,0.152,0.873,0.818
P00080,2025-11-18,119,3,returning_players,False,0.0,30.1,12,0.577,0.391,0.899,0.427
P00081,2025-04-02,349,10,churn_risk_players,False,0.0,13.7,9,0.234,0.166,0.828,0.948
P00082,2026-03-08,9,2,new_players,False,0.0,10.2,4,0.088,0.107,0.368,0.456
P00083,2026-01-10,66,3,active_non_payers,False,0.0,56.7,25,0.748,0.149,0.649,0.136
P00084,2025-10-20,148,2,active_non_payers,False,0.0,68.7,30,0.793,0.31,0.555,0.129
P00085,2025-10-26,142,0,active_non_payers,False,0.0,70.2,28,0.896,0.239,0.545,0.147
P00086,2025-12-22,85,2,returning_players,True,42.49,38.0,12,0.54,0.523,0.858,0.344
P00087,2025-10-08,160,5,returning_players,True,30.08,26.5,18,0.648,0.599,0.755,0.286
P00088,2026-01-06,70,8,returning_players,True,46.97,45.3,14,0.423,0.407,0.781,0.401
P00089,2025-11-17,120,14,churn_risk_players,False,0.0,9.9,9,0.403,0.261,0.793,0.964
P00090,2025-04-30,321,15,churn_risk_players,True,39.16,12.0,15,0.454,0.437,0.867,0.928
P00091,2025-10-03,165,2,high_value_payers,True,328.73,71.8,45,0.918,0.948,0.624,0.104
P00092,2025-04-06,345,30,churn_risk_players,False,0.0,9.5,7,0.244,0.131,0.716,0.861
P00093,2025-03-01,381,27,churn_risk_players,False,0.0,16.4,10,0.442,0.363,0.762,0.897
P00094,2026-03-10,7,2,new_players,False,0.0,21.0,2,0.166,0.275,0.439,0.334
P00095,2025-06-02,288,3,returning_players,False,0.0,23.9,18,0.403,0.454,0.853,0.466
P00096,2025-11-05,132,9,returning_players,False,0.0,28.3,15,0.748,0.426,0.913,0.335
P00097,2025-03-11,371,16,churn_risk_players,True,14.49,6.6,12,0.265,0.32,0.816,0.9
P00098,2025-11-06,131,31,churn_risk_players,False,0.0,12.2,15,0.23,0.209,0.824,0.839
P00099,2025-02-03,407,2,high_value_payers,True,188.74,46.7,38,0.877,0.964,0.42,0.088
P00100,2025-05-19,302,0,high_value_payers,True,162.58,65.3,42,0.943,0.961,0.514,0.113
P00101,2026-03-11,6,2,new_players,False,0.0,10.0,4,0.036,0.146,0.466,0.314
P00102,2026-02-01,44,1,active_non_payers,False,0.0,43.3,32,0.933,0.285,0.793,0.206
